Emplyee_id,First_name,Last_name,Department_id,Gender,DOB,Income_per_month $,,,,
1001,James,Smith,5551,M,3/24/1990,75000,,,,
1002,Michael,Johnson,5552,M,12/16/1997,55000,,,,
1003,Christopher,Davis,5553,M,5/21/1995,65000,,," 

", 
1004,Emily,Miller,5554,F,9/12/1995,85000,,,,
1005,David,Wilson,5555,M,2/5/1991,95000,,,,
1006,John,Taylor,5556,M,9/29/1999,50000,,,,
1007,Robert,Brown,5557,M,1/2/1989,100000,,,,
1008,Sophia,Davis,5558,F,8/26/2000,30000,,,,
1009,Daniel,Evans,5559,M,9/15/1998,59000,,,,
1010,Matthew,Martinez,5560,M,12/8/1992,84000,,,,
1011,Joseph,Anderson,5561,M,10/4/1995,70000,,,,
1012,Olivia,White,5562,F,8/9/1993,50000,,,,
1013,William,Garcia,5563,M,3/7/1994,60000,,,,
1014,Richard,Robinson,5564,M,3/5/1990,80000,,,,
1015,Thomas,Scott,5565,M,4/7/1990,90000,,,,
1016,Emma ,Anderson,5566,F,11/6/1993,105000,,,,
1017,Ava,Clark,5567,F,7/15/1995,35000,,,,
1018,Mia ,Robinson,5568,F,6/5/1990,95000,,,,
1019,Harper,Martinez,5569,F,6/9/1997,48000,,,,
1020,Charles,Wright,5570,M,7/15/1999,75000,,,,
